Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
SRR10765266	12/25/2019 11:58	12/25/2019 10:36	39519	23790438	39519	602	13		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-15/SRR1076526/SRR10765266.1	SRX7439211	SDY1	AMPLICON	PCR	METAGENOMIC	PAIRED	0	0	ILLUMINA	Illumina MiSeq	SRP238729	PRJNA597572		597572	SRS5883784	SAMN13678661	simple	410658	soil metagenome	SDYA							no					TOBACCO RESEARCH INSTITUTE OF CHINESE ACADEMY OF AGRICULTURAL SCIENCES	SRA1016464		public	B944B0FDAA2779FA92943D4149472F2C	629212B3C74D6FDCB4CE221EA40F7074
SRR10765275	12/25/2019 11:58	12/25/2019 10:41	51847	31211894	51847	602	17		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-20/SRR10765275/SRR10765275.1	SRX7439202	SDY2	AMPLICON	PCR	METAGENOMIC	PAIRED	0	0	ILLUMINA	Illumina MiSeq	SRP238729	PRJNA597572		597572	SRS5883775	SAMN13678662	simple	410658	soil metagenome	SDYB							no					TOBACCO RESEARCH INSTITUTE OF CHINESE ACADEMY OF AGRICULTURAL SCIENCES	SRA1016464		public	DB39CD96476EAB7C325832DDB40FB97D	12556DD861E050F216908695F82B2BE9
SRR10765274	12/25/2019 11:58	12/25/2019 10:41	47499	28594398	47499	602	15		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-20/SRR10765274/SRR10765274.1	SRX7439203	SDY3	AMPLICON	PCR	METAGENOMIC	PAIRED	0	0	ILLUMINA	Illumina MiSeq	SRP238729	PRJNA597572		597572	SRS5883776	SAMN13678663	simple	410658	soil metagenome	SDYC							no					TOBACCO RESEARCH INSTITUTE OF CHINESE ACADEMY OF AGRICULTURAL SCIENCES	SRA1016464		public	1546BF640A21FA6CBB2DDFDA52E57141	0C242FF16104ECE69BFAEE801D32F053
SRR10765269	12/25/2019 11:58	12/25/2019 10:38	39624	23853648	39624	602	13		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-20/SRR10765269/SRR10765269.1	SRX7439208	Ss1	AMPLICON	PCR	METAGENOMIC	PAIRED	0	0	ILLUMINA	Illumina MiSeq	SRP238729	PRJNA597572		597572	SRS5883781	SAMN13678658	simple	410658	soil metagenome	SsA							no					TOBACCO RESEARCH INSTITUTE OF CHINESE ACADEMY OF AGRICULTURAL SCIENCES	SRA1016464		public	65C6095DB9DEF05BE99B4D4E282B29EE	94F79C1BDE102B25BD82A98DD099CF45
SRR10765268	12/25/2019 11:58	12/25/2019 10:37	144030	86706060	144030	602	54		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-20/SRR10765268/SRR10765268.1	SRX7439209	Ss2	AMPLICON	PCR	METAGENOMIC	PAIRED	0	0	ILLUMINA	Illumina MiSeq	SRP238729	PRJNA597572		597572	SRS5883782	SAMN13678659	simple	410658	soil metagenome	SsB							no					TOBACCO RESEARCH INSTITUTE OF CHINESE ACADEMY OF AGRICULTURAL SCIENCES	SRA1016464		public	50120514622E8BE45A8FD93820AF1336	4430EB6126B026440FEEA3DA44E2D48F
SRR10765267	12/25/2019 11:58	12/25/2019 10:37	66237	39874674	66237	602	21		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-20/SRR10765267/SRR10765267.1	SRX7439210	Ss3	AMPLICON	PCR	METAGENOMIC	PAIRED	0	0	ILLUMINA	Illumina MiSeq	SRP238729	PRJNA597572		597572	SRS5883783	SAMN13678660	simple	410658	soil metagenome	SsC							no					TOBACCO RESEARCH INSTITUTE OF CHINESE ACADEMY OF AGRICULTURAL SCIENCES	SRA1016464		public	05A8364337C4BBA12A89D7EA45A0DEED	D59063E4ECABCB3AF330AEEEC99D60B7
SRR10765272	12/25/2019 11:58	12/25/2019 10:40	35906	21615412	35906	602	13		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-20/SRR10765272/SRR10765272.1	SRX7439205	nD1	AMPLICON	PCR	METAGENOMIC	PAIRED	0	0	ILLUMINA	Illumina MiSeq	SRP238729	PRJNA597572		597572	SRS5883778	SAMN13678655	simple	1118232	root metagenome	nDA							no					TOBACCO RESEARCH INSTITUTE OF CHINESE ACADEMY OF AGRICULTURAL SCIENCES	SRA1016464		public	A92E9CFFE9AB99CA28E464EB8E86C0BD	2AEF4DB992414D6AC81FB7279478AF69
SRR10765271	12/25/2019 11:58	12/25/2019 10:39	28932	17417064	28932	602	10		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-20/SRR10765271/SRR10765271.1	SRX7439206	nD2	AMPLICON	PCR	METAGENOMIC	PAIRED	0	0	ILLUMINA	Illumina MiSeq	SRP238729	PRJNA597572		597572	SRS5883779	SAMN13678656	simple	1118232	root metagenome	nDB							no					TOBACCO RESEARCH INSTITUTE OF CHINESE ACADEMY OF AGRICULTURAL SCIENCES	SRA1016464		public	61355729FB92CDB54D691615D94D8341	717E63946BE4B5FCF2753E37D3C0BBAE
SRR10765270	12/25/2019 11:58	12/25/2019 10:39	38796	23355192	38796	602	14		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-20/SRR10765270/SRR10765270.1	SRX7439207	nD3	AMPLICON	PCR	METAGENOMIC	PAIRED	0	0	ILLUMINA	Illumina MiSeq	SRP238729	PRJNA597572		597572	SRS5883780	SAMN13678657	simple	1118232	root metagenome	nDC							no					TOBACCO RESEARCH INSTITUTE OF CHINESE ACADEMY OF AGRICULTURAL SCIENCES	SRA1016464		public	8A1B8CCE068A08A783A73815971DA853	4F276C83ABBA346E20625C64084CA97F
SRR10765277	12/25/2019 11:58	12/25/2019 10:42	42044	25310488	42044	602	15		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-20/SRR10765277/SRR10765277.1	SRX7439200	nS1	AMPLICON	PCR	METAGENOMIC	PAIRED	0	0	ILLUMINA	Illumina MiSeq	SRP238729	PRJNA597572		597572	SRS5883773	SAMN13678652	simple	1118232	root metagenome	nSA							no					TOBACCO RESEARCH INSTITUTE OF CHINESE ACADEMY OF AGRICULTURAL SCIENCES	SRA1016464		public	1B1D125F02F068FFFDD60262D0737204	1EDEBDD300FC171F6CDCB97D1E9C63FE
